id,date,polarity,subjectivity,compound
375,2009-01-02,0.04,0.31,1.0
373,2009-01-02,0.13,0.3,0.97
363,2009-01-02,0.13,0.38,-0.73
378,2009-01-03,-0.06,0.55,0.89
379,2009-01-03,0.02,0.37,-0.78
381,2009-01-03,0.04,0.27,-0.77
385,2009-01-03,0.03,0.37,0.84
380,2009-01-03,0.04,0.28,-0.25
382,2009-01-03,0.03,0.3,-0.92
376,2009-01-03,0.03,0.42,0.48
384,2009-01-03,0.02,0.36,0.99
383,2009-01-03,0.08,0.41,-0.18
390,2009-01-03,0.19,0.41,0.98
386,2009-01-03,0.06,0.35,0.74
389,2009-01-03,0.07,0.39,0.93
387,2009-01-03,0.2,0.49,0.95
388,2009-01-03,0.47,0.55,0.97
392,2009-01-03,0.12,0.46,0.3
377,2009-01-03,0.02,0.31,0.91
395,2009-01-03,0.07,0.37,-0.94
394,2009-01-03,-0.02,0.33,-0.99
391,2009-01-03,0.1,0.41,0.85
396,2009-01-03,0.08,0.32,0.97
398,2009-01-03,0.06,0.32,0.99
399,2009-01-03,0.19,0.48,0.99
400,2009-01-03,0.03,0.26,0.95
393,2009-01-03,0.12,0.38,0.81
397,2009-01-03,0.03,0.49,0.98
402,2009-01-03,0.01,0.35,0.98
403,2009-01-03,0.03,0.34,0.94
401,2009-01-03,-0.0,0.21,0.94
404,2009-01-03,0.16,0.37,0.9
405,2009-01-03,0.09,0.35,0.97
410,2009-01-03,0.06,0.31,0.97
408,2009-01-03,0.13,0.32,0.99
409,2009-01-03,0.09,0.42,0.6
414,2009-01-03,0.1,0.35,0.92
411,2009-01-03,-0.03,0.37,0.95
413,2009-01-03,0.03,0.26,0.93
416,2009-01-03,0.11,0.27,0.11
407,2009-01-03,0.06,0.3,0.91
417,2009-01-03,0.1,0.35,-0.4
419,2009-01-03,-0.09,0.38,-0.91
406,2009-01-03,0.06,0.3,0.91
420,2009-01-03,0.13,0.34,0.97
418,2009-01-03,0.1,0.5,0.83
415,2009-01-03,0.07,0.34,0.75
421,2009-01-03,0.06,0.42,0.97
412,2009-01-03,0.08,0.39,0.99
422,2009-01-03,0.02,0.43,-0.91
423,2009-01-03,-0.02,0.37,-0.96
424,2009-01-03,0.04,0.4,0.93
425,2009-01-03,0.04,0.24,0.97
428,2009-01-03,0.08,0.44,0.99
429,2009-01-03,0.06,0.38,0.81
426,2009-01-03,-0.01,0.56,0.59
430,2009-01-03,0.05,0.41,-0.97
434,2009-01-03,0.01,0.18,0.86
435,2009-01-03,0.1,0.33,0.93
427,2009-01-03,0.03,0.27,-0.99
433,2009-01-03,0.09,0.37,-0.57
436,2009-01-03,0.09,0.22,-0.92
