date,net_profit_loss_from_ordinary_activities_after_tax_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,other_income_yrly,basic_eps_yrly,expenditure_yrly,other_expenses_yrly,tax_yrly,diluted_eps_yrly,net_profit_yrly,profit_after_interest_but_before_exceptional_items_yrly,depreciation_and_amortisation_expense_yrly
2008-10-11,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-12,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-13,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-14,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-15,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-16,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-17,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-18,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-19,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-20,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-21,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-22,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-23,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-24,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-25,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-26,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-27,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-28,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-29,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-30,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-10-31,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-01,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
