current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-24,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-25,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-26,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-27,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-28,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-29,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-30,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-31,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-01,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-02,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-03,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-04,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-05,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-06,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-07,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-08,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-09,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-10,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-11,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-12,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-13,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-14,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-15,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-16,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-17,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-18,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-19,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-20,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-21,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-22,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-23,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-24,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-25,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-26,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-27,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-28,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-29,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-08-30,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
