date,diluted_eps_qtr,deferred_tax_qtr,employee_benefit_expenses_qtr,expenditure_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,diluted_for_discontinued_continuing_operation_qtr,other_expenses_qtr,net_sales_qtr,basic_for_discontinued_continuing_operation_qtr,total_income_qtr,current_tax_qtr,employee_benefit_expense_qtr,depreciation_and_amortisation_expense_qtr,equity_capital_qtr,profit_before_interest_and_exceptional_items_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,basic_eps_for_continuing_operation_qtr,other_income_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,face_value_in_rs_qtr,exceptional_item_qtr,basic_diluted_eps_after_extraordinary_items_qtr,basic_eps_qtr,finance_costs_qtr,tax_qtr,diluted_eps_for_continuing_operation_qtr,interest_qtr,net_profit_qtr
2016-07-30,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-07-31,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-01,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-02,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-03,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-04,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-05,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-06,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-07,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-08,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-09,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-10,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-11,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-12,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-13,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-14,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-15,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-16,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-17,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-18,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-19,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-20,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-21,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-22,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-23,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-24,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-25,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-26,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-27,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-28,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-29,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-30,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-08-31,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-01,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-02,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-03,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-04,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-05,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-06,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-07,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-08,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-09,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-10,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-11,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-12,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-13,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-14,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-15,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-16,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-17,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-18,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-19,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-20,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-21,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-22,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-23,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-24,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-25,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-26,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-27,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
2016-09-28,5.21,,-509.32,"-7,869.26",888.67,,"-1,530.88","8,828.77",,,,,-373.91,254.05,975.12,888.67,959.51,,15.6,576.17,2.0,0.0,5.21,5.21,,-312.50,,-86.44,576.17
