depreciation_and_amortisation_expense_qtr,employee_benefit_expenses_qtr,employee_benefit_expense_qtr,equity_capital_qtr,exceptional_item_qtr,expenditure_qtr,face_value_in_rs_qtr,finance_costs_qtr,interest_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,net_profit_qtr,number_of_public_shareholding_qtr,other_income_qtr,percentage_of_public_shareholding_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_before_interest_and_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,revenue_from_operations_qtr,tax_qtr,total_income_qtr,basic_eps_qtr,date_qtr,diluted_eps_qtr
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-18,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-19,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-20,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-21,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-22,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-23,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-24,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-25,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-26,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-27,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-28,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-29,14.59
-119.1,,"-1,331.00",,0.0,"-9,645.50",,"-5,560.90",,"2,280.00","2,280.00",,2.3,,"3,483.90","3,483.90",,,,"-1,203.90","13,129.40",14.6,2017-09-30,14.59
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-01,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-02,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-03,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-04,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-05,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-06,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-07,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-08,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-09,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-10,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-11,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-12,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-13,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-14,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-15,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-16,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-17,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-18,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-19,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-20,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-21,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-22,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-23,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-24,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-25,16.0
-137.6,,"-1,319.30",,0.0,"-10,242.80",,"-5,895.90",,"2,497.20","2,497.20",,0.7,,"3,801.20","3,801.20",,,,"-1,304.00","14,044.00",16.01,2017-10-26,16.0
