date,other_expenses_yrly,diluted_eps_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,depreciation_and_amortisation_expense_yrly,other_income_yrly,basic_eps_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,expenditure_yrly,tax_yrly
2015-07-30,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-07-31,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-01,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-02,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-03,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-04,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-05,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-06,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-07,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-08,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-09,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-10,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-11,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-12,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-08-13,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
