other_income,net_profit_loss_from_ordinary_activities_after_tax,tax,profit_loss_from_ordinary_activities_before_tax,date,expenditure,net_profit,profit_after_interest_but_before_exceptional_items,depreciation_and_amortisation_expense,finance_costs,total_income,employee_benefit_expense,exceptional_item,basic_eps,diluted_eps
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-22,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-23,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-24,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-25,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-26,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-27,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-28,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-29,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-30,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-07-31,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-01,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-02,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-03,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-04,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-05,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-06,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-07,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-08,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-09,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-10,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-11,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-12,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-13,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-14,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-15,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-16,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-17,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-18,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-19,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-20,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-21,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-22,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-23,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-24,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-25,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-26,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-27,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-28,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-29,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-30,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-08-31,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-09-01,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
1.0,"3,046.70","-1,548.50","4,595.20",2018-09-02,"-12,163.10","3,046.70","4,595.20",-127.6,"-8,638.70","16,758.30","-1,342.50",,19.49,19.46
