date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2008-07-29,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-30,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-07-31,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-01,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-02,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-03,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-04,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-05,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-06,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-07,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-08,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-09,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-10,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-11,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-12,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-13,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-14,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-15,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-16,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-17,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
