shap_value,feature
2.6493609272574496e-06,volume_sma_em_10
2.648510829591448e-06,volatility_kcc_100
2.600281115577359e-06,volatility_dch_200
2.5550335958579555e-06,momentum_stoch_rsi_k_10
2.5180509026135857e-06,trend_trix_200
2.5139834709928564e-06,trend_adx_pos_10
2.486304086183265e-06,volatility_kcl_20
2.4806736497851803e-06,volatility_dcw
2.460718109999195e-06,momentum_pvo_signal_50
2.446647064170006e-06,trend_mass_index_10
2.4247523952161186e-06,trend_kst_5
2.3932840863128145e-06,trend_visual_ichimoku_b_20
2.386448725919281e-06,others_cr_50
2.347752578411388e-06,volatility_bbhi_100
2.3375615557253726e-06,^gspc_percent_change
2.3183049970740304e-06,volatility_bbl_10
2.2839935110158996e-06,momentum_rsi_10
2.2336645468163723e-06,trend_vortex_ind_neg
2.214008728428598e-06,momentum_rsi
2.1788176086801435e-06,trend_mass_index
2.1757228910213417e-06,trend_ichimoku_conv_200
2.1344707306415398e-06,volatility_dch_50
2.1335727883504486e-06,trend_visual_ichimoku_a_5
2.095715200668414e-06,volume_fi_100
2.0620945261845998e-06,high_10
2.060192532434397e-06,volume_nvi_10
2.0451864312443617e-06,momentum_roc_10
2.0289695205915656e-06,volume_vwap_5
2.0152796502417492e-06,trend_dpo_100
1.9877472124396865e-06,trend_kst_20
1.9619148956461173e-06,trend_ichimoku_base_10
1.955602617495076e-06,volatility_dcw_50
1.954229367503597e-06,trend_kst_diff_20
1.8979406764708688e-06,trend_ema_slow_5
1.893196014012684e-06,trend_ichimoku_conv_50
1.8744013699396674e-06,momentum_uo_200
1.8716464912065862e-06,trend_visual_ichimoku_a_200
1.8582858982507723e-06,trend_macd_signal_200
1.8315129639521183e-06,volatility_bbh_50
1.8048151786010754e-06,momentum_tsi_200
1.7695960517426818e-06,volume_adi_10
1.76588485111887e-06,volatility_bbp_50
1.744399763609235e-06,momentum_stoch_100
1.7396652888544884e-06,trend_macd_5
1.7010339111744307e-06,trend_sma_fast_20
1.6826646816965079e-06,high_200
1.680723821440455e-06,trend_kst
1.6531908688479524e-06,trend_macd_signal
1.64724174071916e-06,trend_aroon_ind_20
1.6392973678008262e-06,volatility_atr_50
1.6215009804484752e-06,low_200
1.60399093572611e-06,volatility_bbm_5
1.5901382272275856e-06,momentum_roc_20
1.5848577303040385e-06,trend_sma_slow_10
1.5766251167041069e-06,momentum_wr_100
1.5758507387265957e-06,trend_ichimoku_base_5
1.5703928664268965e-06,profit_loss_from_ordinary_activities_before_tax_yrly
1.5603440363023713e-06,volatility_kcp
1.5581680315672592e-06,ticker_polarity
1.5111870408321322e-06,trend_ichimoku_a_20
1.476146374296465e-06,trend_stc_10
1.4615210186481605e-06,volume_vpt
1.4540403378709204e-06,trend_dpo_200
1.4420961188873606e-06,others_dlr
1.4258888798153056e-06,trend_sma_slow_50
1.4192887774567908e-06,trend_trix_20
1.4144155599317178e-06,volume_cmf_10
1.4050851536432177e-06,volatility_kch_100
1.3941853403067508e-06,trend_aroon_up_20
1.3724976555336683e-06,volatility_bbli_50
1.3564070951934378e-06,trend_macd
1.3548148413656695e-06,volatility_kcli_50
1.3029227932039717e-06,trend_cci_200
1.299729281242279e-06,trend_ema_slow_200
1.2916226360127894e-06,others_dlr_10
1.2815131787200056e-06,trend_dpo
1.2747475221098503e-06,others_cr_10
1.2649806951690383e-06,volatility_ui
1.2583245493126046e-06,volume_mfi
1.2566334173129757e-06,trend_adx_100
1.2437539883302505e-06,tax_qtr
1.2047592183772178e-06,volatility_dcm_50
1.1945444240876651e-06,volatility_kcc_50
1.1607800497777885e-06,trend_kst_sig_10
1.1587081278812562e-06,trend_ichimoku_conv_20
1.1371982684957982e-06,volatility_bbh_5
1.1308293620874183e-06,trend_aroon_down
1.1145952080517152e-06,trend_macd_diff_20
1.0839036461147071e-06,hsi_percent_change
1.0670367214848487e-06,profit_after_interest_but_before_exceptional_items_yrly
1.023629311730607e-06,volatility_dcw_20
1.021431379945327e-06,momentum_rsi_20
9.86456777568738e-07,others_dr_10
9.782443765757146e-07,volume_em_100
9.73657680560917e-07,trend_vortex_ind_pos
9.54886287852625e-07,momentum_tsi_10
9.197724309557255e-07,momentum_stoch_50
9.155826408252198e-07,trend_aroon_up_100
9.078756840426014e-07,topic_compound
8.969808686796043e-07,trend_mass_index_200
8.916015309706375e-07,others_dlr_5
8.634635916304643e-07,volume_sma_em_100
8.409204871761602e-07,volume_fi_200
8.352196644721755e-07,trend_trix_10
8.276034375905877e-07,diluted_eps_yrly
8.203797379913234e-07,volume_sma_em_50
8.163631546783314e-07,low_50
8.016060413703197e-07,momentum_pvo_signal_20
7.916839495155255e-07,trend_macd_signal_50
7.867547270238875e-07,trend_ichimoku_conv_10
7.85860073587822e-07,volatility_bbl_50
7.611751268227667e-07,momentum_rsi_50
7.532710765882797e-07,others_dr_100
7.469537506419981e-07,momentum_uo_10
7.380007053667389e-07,trend_psar_down_indicator_5
7.289122966995206e-07,volatility_dcl_20
7.258278675416982e-07,volume_mfi_10
7.167904662504377e-07,volume_vpt_100
7.142998486864437e-07,volume_vwap_200
6.976692336659052e-07,volatility_ui_50
6.772801210493373e-07,momentum_stoch_rsi_200
6.300465089011717e-07,trend_macd_diff_5
6.261211315973603e-07,volatility_bbp_100
6.25447775376299e-07,^bsesn_percent_change
6.212308375414105e-07,volatility_kcp_5
6.147019637642277e-07,agg_polarity
5.920138922417624e-07,momentum_pvo_hist_50
5.825890012460342e-07,volatility_ui_5
5.475027153818742e-07,trend_vortex_ind_diff
5.412955993278569e-07,volatility_kcp_50
5.103454551863234e-07,momentum_stoch_rsi_k_100
5.082578922835863e-07,trend_ema_slow_20
4.885163999079515e-07,ticker_compound
4.81977842123165e-07,trend_kst_100
4.549461888718817e-07,trend_macd_signal_5
4.4923121492815103e-07,trend_vortex_ind_neg_100
4.3171594365729715e-07,trend_psar_up_indicator_200
4.229474960567124e-07,momentum_ppo_hist_100
3.816412674950471e-07,momentum_wr_5
3.7478364652463825e-07,volatility_bbhi_10
3.301393178338969e-07,volume_nvi_5
3.294899460318017e-07,trend_adx_neg
3.099211865434496e-07,momentum_rsi_100
2.571367457818792e-07,^nsei_percent_change
2.373951882954268e-07,volatility_bbw_50
2.25570936529418e-07,momentum_stoch_rsi_5
2.1565194578862292e-07,employee_benefit_expense_yrly
2.0038125463795636e-07,volatility_kcl_5
1.868199513720024e-07,momentum_stoch
1.858814927469133e-07,volatility_bbm_100
1.7954413052394486e-07,volatility_kcc_10
1.6833682308216773e-07,trend_sma_slow_5
1.5146272451684274e-07,trend_visual_ichimoku_a_10
1.1472871400290011e-07,trend_ichimoku_a
1.1079432591076562e-07,others_dlr_100
8.814665503364528e-08,trend_macd_diff_50
4.195069301974938e-08,volatility_dcw_10
3.69546083264958e-08,volume_obv_10
3.675288190176167e-08,trend_ichimoku_base_20
2.8617927893296823e-08,momentum_stoch_rsi_k_200
2.59309291319575e-08,trend_visual_ichimoku_a_20
1.2820840308051829e-08,trend_ichimoku_base_100
4.771197324128496e-09,volatility_dcp_5
-9.774210848595456e-09,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr
-4.0606399868384905e-08,volume_em_10
-5.162394574434693e-08,cl=f_percent_change
-7.737248778061215e-08,others_cr_100
-8.772813104208205e-08,momentum_ppo_10
-9.426628152006348e-08,momentum_stoch_signal_100
-1.3762611183702737e-07,trend_aroon_down_50
-1.410027008021839e-07,volatility_dcl_50
-1.703998238627721e-07,volume_cmf_200
-1.741481402799085e-07,net_profit_loss_from_ordinary_activities_after_tax_yrly
-2.2046514433421938e-07,trend_macd_20
-2.524507887864349e-07,momentum_roc_50
-2.5586039321250867e-07,volume_cmf
-2.8618461081216746e-07,volatility_dcm_100
-2.9112758687008195e-07,volatility_kcw_100
-2.919273141696825e-07,volatility_kchi_100
-2.994240784385602e-07,trend_vortex_ind_diff_50
-3.06328809118175e-07,trend_ichimoku_conv
-3.396178146772874e-07,momentum_pvo_10
-3.8266429114056095e-07,trend_adx_neg_200
-4.154943755450896e-07,trend_psar_up_indicator_10
-4.2437044441144186e-07,trend_aroon_up_10
-4.825798771745139e-07,agg_compound
-4.886335345373219e-07,trend_vortex_ind_pos_50
-5.049403569654366e-07,trend_adx_pos_200
-5.179254408578444e-07,volatility_bbli_100
-5.220459712973524e-07,profit_loss_from_ordinary_activities_before_tax_qtr
-5.221348534644706e-07,trend_ichimoku_b_20
-5.269181433765873e-07,trend_dpo_10
-5.271414279963523e-07,others_dr_5
-5.312009318569146e-07,trend_vortex_ind_neg_50
-5.314312899450853e-07,others_dlr_50
-5.334056676845639e-07,volatility_kch_50
-5.441297875202331e-07,momentum_pvo_hist_100
-5.88646187569238e-07,momentum_stoch_rsi_d_10
-5.917619553983773e-07,volatility_dcp_200
-5.99618066701038e-07,volatility_kch_5
-6.328748644709959e-07,total_income_yrly
-6.589649784311504e-07,others_dr_50
-6.977121273486541e-07,trend_aroon_down_20
-7.062401671434266e-07,basic_eps_yrly
-7.203228682014611e-07,momentum_stoch_rsi_d
-7.58663962256379e-07,trend_psar_down_indicator_100
-7.694171223325569e-07,volume_obv_100
-7.718119266789924e-07,momentum_kama_10
-7.756317068429319e-07,trend_aroon_ind_200
-8.133621908271112e-07,volatility_bbl_5
-8.622016074357661e-07,momentum_roc_100
