,Scrip Code,COMPANY,ISIN No.,Close Price,CLEAN_COMPANY,TICKER
253,531543,Jindal Worldwide Ltd.,INE247D01039,334.65,jindal worldwide,JINDWORLD.NS
254,500380,JK Lakshmi Cement Ltd,INE786A01032,728.0,jk lakshmi cement,JKLAKSHMI.NS
255,532162,JK Paper Ltd.,INE789E01012,323.7,jk paper,JKPAPER.NS
256,523405,JM Financial Ltd,INE780C01023,75.04,jm financial,JMFINANCIL.NS
257,533148,JSW Energy Ltd,INE121E01018,253.5,jsw energy,JSWENERGY.NS
258,500228,JSW Steel Ltd,INE019A01038,771.55,jsw steel,JSWSTEEL.NS
259,533155,Jubilant FoodWorks Ltd,INE797F01020,493.9,jubilant foodworks,JUBLFOOD.NS
260,543271,Jubilant Ingrevia Limited,INE0BY001018,463.25,jubilant ingrevia limited,JUBLINGREA.NS
261,530019,Jubilant Pharmova Sciences Ltd,INE700A01033,409.3,jubilant pharmova sciences,NA
262,535648,Just Dial Ltd,INE599M01018,769.55,just dial,JUSTDIAL.NS
263,532926,Jyothy Labs Ltd,INE668F01031,213.65,jyothy labs,JYOTHYLAB.NS
264,500233,Kajaria Ceramics Ltd.,INE217B01036,1289.65,kajaria ceramics,KAJARIACER.NS
265,522287,Kalpataru Projects International Ltd,INE220B01022,544.4,kalpataru projects international,KPIL.BO
266,543278,Kalyan Jewellers India Ltd,INE303R01014,132.85,kalyan jewellers india,KALYANKJIL.NS
267,500165,Kansai Nerolac Paints Ltd.,INE531A01024,459.85,kansai nerolac paints,KANSAINER.NS
268,532714,KEC International Ltd/India,INE389H01022,570.1,kec international,KEC.NS
269,517569,KEI Industries Ltd,INE878B01027,2239.15,kei industries,KEI.NS
270,540680,KIOCL Ltd,INE880L01014,191.5,kiocl,KIOCL.NS
271,532942,KNR Constructions Ltd,INE634I01029,245.65,knr constructions,KNRCON.NS
272,500247,Kotak Mahindra Bank Ltd,INE237A01028,1823.95,kotak mahindra bank,KOTAKBANK.NS
273,542651,KPIT Technologies Ltd,INE04I401011,1072.0,kpit technologies,KPITTECH.NS
274,532889,KPR Mill Ltd,INE930H01031,637.3,kpr mill,KPRMILL.NS
275,530813,KRBL Ltd,INE001B01026,351.65,krbl,KRBL.NS
276,543308,Krishna Institute of Medical Sciences Ltd,INE967H01017,1700.05,krishna institute of medical sciences,KIMS.NS
277,500249,KSB Ltd,INE999A01015,2179.45,ksb,KSB3.DE
278,533519,L&T Finance Holdings Ltd,INE498L01015,118.1,l,BZ=F
279,540115,L&T Technology Services Ltd,INE010V01017,3908.5,l,BZ=F
280,526947,La Opala Rg Ltd.,INE059D01020,406.5,la opala rg,LAOPALA.NS
281,500252,Lakshmi Machine Works Ltd,INE269B01029,12815.4,lakshmi machine works,LAXMIMACH.NS
282,500510,Larsen & Toubro Ltd,INE018A01030,2363.2,larsen,LT.NS
283,543398,Latent View Analytics Ltd,INE0I7C01011,351.45,latent view analytics,LATENTVIEW.NS
284,540222,Laurus Labs Ltd,INE947Q01028,364.55,laurus labs,LAURUSLABS.NS
285,543277,Laxmi Organic Industries Ltd,INE576O01020,266.0,laxmi organic industries,LXCHEM.NS
286,541233,Lemon Tree Hotels Ltd,INE970X01018,94.69,lemon tree hotels,LEMONTREE.NS
287,500253,LIC Housing Finance Ltd,INE115A01026,384.35,lic housing finance,LICHSGFIN.NS
288,543526,Life Insurance Corporation of India,INE0J1Y01017,618.3,life insurance corporation of india,LICI.NS
289,523457,Linde India Ltd,INE473A01011,4362.55,linde india,LINDEINDIA.NS
290,512455,Lloyds Metals & Energy Ltd.,INE281B01032,380.65,lloyds metals,LLOYDSME.BO
291,540005,LTIMindtree Ltd,INE214T01019,5049.7,ltimindtree,LTIM.NS
292,500257,Lupin Ltd,INE326A01037,825.15,lupin,LUPIN.NS
293,543287,Macrotech Developers Ltd,INE670K01029,629.95,macrotech developers,LODHA.NS
294,539957,Mahanagar Gas Ltd,INE002S01010,1031.45,mahanagar gas,MGL.NS
