Scrip Code,COMPANY,ISIN No.,Close Price
500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,564.55
506401,Deepak Nitrite Limited,INE288B01029,2174.8
543529,Delhivery Limited,INE148O01028,391.6
532848,Delta Corp. Ltd.,INE124G01033,248.25
543330,Devyani International Ltd,INE872J01023,194.75
532488,Divi's Laboratories Ltd,INE361B01024,3583.75
540699,Dixon Technologies (India) Ltd,INE935N01020,4654.8
532868,DLF Ltd,INE271C01023,485.1
500124,Dr Reddy's Laboratories Ltd,INE089A01023,4873.5
539524,Dr. Lal PathLabs Ltd,INE600L01024,2121.25
543272,Easy Trip Planners Ltd,INE07O001026,43.42
532927,eClerx Services Ltd,INE738I01010,1773.25
505200,Eicher Motors Ltd,INE066A01021,3494.55
500125,EID Parry India Ltd,INE126A01031,470
500840,EIH Ltd,INE230A01023,212.3
522074,Elgi Equipments Ltd.,INE285A01027,533.7
531162,Emami Ltd,INE548C01032,416.5
540153,Endurance Technologies Ltd,INE913H01037,1586.9
532178,Engineers India Ltd,INE510A01028,113.7
500135,EPL Ltd,INE255A01020,204.1
543243,Equitas Small Finance Bank Ltd,INE063P01018,87.99
540596,Eris Lifesciences Ltd,INE406M01024,676.8
500133,Esab India Ltd,INE284A01012,3991.35
500495,Escorts Ltd,INE042A01014,2196.8
543482,Eureka Forbes Limited,INE0KCE01017,580.5
500086,Exide Industries Ltd,INE302A01020,213.2
531599,FDC Ltd,INE258B01022,308.6
500469,Federal Bank Ltd,INE171A01029,123.1
541557,Fine Organic Industries Ltd,INE686Y01026,4904.4
500144,Finolex Cables Ltd,INE235A01022,855.55
500940,Finolex Industries Ltd,INE183A01024,175.4
532809,Firstsource Solutions Ltd,INE684F01012,129.9
543663,Five-Star Business Finance Ltd,INE128S01021,651.15
532843,Fortis Healthcare Ltd.,INE061F01013,306.25
543384,FSN E-Commerce Ventures Ltd,INE388Y01029,150.45
543317,G R Infraprojects Ltd,INE201P01022,1248.65
532155,Gail India Ltd,INE129A01019,108
540935,Galaxy Surfactants Ltd,INE600K01018,2846.5
509557,Garware Technical Fibres Ltd,INE276A01018,3181.8
