Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,63.45000076293945,63.79999923706055,62.45000076293945,62.849998474121094,60.95549774169922,80325
2022-06-08,62.95000076293945,63.54999923706055,61.900001525878906,62.20000076293945,60.32509231567383,130181
2022-06-09,62.20000076293945,62.95000076293945,62.0,62.29999923706055,60.42207717895508,1022927
2022-06-10,62.04999923706055,62.20000076293945,61.20000076293945,61.5,59.64619445800781,132658
2022-06-13,61.79999923706055,61.79999923706055,59.04999923706055,59.400001525878906,57.6094970703125,98427
2022-06-14,59.400001525878906,62.099998474121094,58.29999923706055,59.79999923706055,57.9974365234375,166622
2022-06-15,60.79999923706055,61.349998474121094,60.04999923706055,60.79999923706055,58.96729278564453,57412
2022-06-16,60.25,61.599998474121094,57.79999923706055,58.400001525878906,56.6396369934082,285522
2022-06-17,57.75,58.95000076293945,56.349998474121094,57.650001525878906,55.91224670410156,126911
2022-06-20,57.0,57.150001525878906,52.400001525878906,53.099998474121094,51.499393463134766,400037
2022-06-21,53.0,55.099998474121094,51.0,54.150001525878906,52.51774597167969,264774
2022-06-22,54.900001525878906,55.79999923706055,53.099998474121094,55.0,53.342124938964844,195138
2022-06-23,55.0,55.650001525878906,53.70000076293945,54.5,52.85719680786133,101323
2022-06-24,55.0,55.5,54.150001525878906,54.54999923706055,52.90568923950195,149175
2022-06-27,55.0,55.650001525878906,54.75,54.849998474121094,53.1966438293457,172400
2022-06-28,55.0,55.29999923706055,54.20000076293945,54.75,53.09965896606445,77804
2022-06-29,53.599998474121094,56.29999923706055,53.599998474121094,54.400001525878906,52.76021194458008,148920
2022-06-30,55.45000076293945,55.45000076293945,53.54999923706055,54.20000076293945,52.56623840332031,99408
2022-07-01,53.849998474121094,55.849998474121094,53.150001525878906,55.20000076293945,53.536094665527344,260789
2022-07-04,55.95000076293945,55.95000076293945,54.04999923706055,54.400001525878906,52.76021194458008,65814
2022-07-05,54.400001525878906,55.849998474121094,54.0,54.25,52.61473083496094,148627
2022-07-06,54.79999923706055,54.95000076293945,54.0,54.29999923706055,52.66322326660156,123023
2022-07-07,54.29999923706055,57.70000076293945,54.29999923706055,56.900001525878906,55.184852600097656,520055
2022-07-08,57.75,58.45000076293945,56.099998474121094,56.54999923706055,54.845401763916016,225951
2022-07-11,56.45000076293945,59.0,56.0,58.5,56.73662185668945,293557
2022-07-12,58.5,59.29999923706055,57.5,57.849998474121094,56.1062126159668,271727
2022-07-13,58.849998474121094,58.849998474121094,57.400001525878906,58.099998474121094,56.34867858886719,67001
2022-07-14,58.20000076293945,58.29999923706055,56.900001525878906,57.04999923706055,55.33032989501953,118209
2022-07-15,58.0,58.0,55.75,56.75,55.039371490478516,73705
2022-07-18,57.95000076293945,58.29999923706055,56.75,56.900001525878906,55.184852600097656,133565
2022-07-19,57.75,58.70000076293945,56.900001525878906,57.45000076293945,55.7182731628418,102075
2022-07-20,67.0,67.0,57.75,57.95000076293945,56.20320129394531,485625
2022-07-21,58.099998474121094,59.75,58.04999923706055,59.45000076293945,57.65798568725586,394977
2022-07-22,59.599998474121094,60.29999923706055,57.70000076293945,58.400001525878906,56.6396369934082,144205
